date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,score1,score2,result
2021-09-09,2021,0,,TB,DAL,1656.23592987083,1452.42423600283,0.824538544494999,0.175461455505001,1634.45174390917,1505.6288242255,213.410550174369,231.491798840342,0.736090277895479,0.263909722104521,317.128566248525,397.401725187308,31,29,win
2021-09-12,2021,0,,CAR,NYJ,1436.53931839259,1381.74750021599,0.665872852168895,0.334127147831105,1458.5374833288,1392.50273416531,104.471616608345,112.44816,0.649769020868439,0.350230979131561,226.643755532734,-8.4988193780589,19,14,win
2021-09-12,2021,0,,TEN,ARI,1553.39721722001,1486.43695568349,0.681272165711326,0.318727834288674,1534.79305468692,1483.21904046726,207.780410520668,217.216864860287,0.657170820241354,0.342829179758646,33.6845647735549,302.017311223299,13,38,loss
2021-09-12,2021,0,,IND,SEA,1561.49008374858,1565.75113437891,0.586530640528268,0.413469359471732,1527.52173127951,1553.10296204501,102.469223229753,187.03065281486,0.522245105832159,0.477754894167841,216.666972401176,246.652317642556,16,28,loss
2021-09-12,2021,0,,WSH,LAC,1463.23379626925,1496.9453348771,0.544906384438211,0.455093615561789,1489.48797605695,1517.60210067526,190.46669125437,191.691355283996,0.579076497871764,0.420923502128236,-1.92819238379691,180.052330519473,16,20,loss
2021-09-12,2021,0,,HOU,JAX,1432.77554209903,1339.02356327475,0.713787314650434,0.286212685349566,1357.11260058243,1385.36378192742,120.468641859272,112.90158,0.407361322838477,0.592638677161523,287.428457370719,82.4790690598994,37,21,win
2021-09-12,2021,0,,CIN,MIN,1412.11982567755,1494.5227209927,0.474976144903914,0.525023855096086,1426.33862379998,1502.49676333132,154.387510362213,200.023428676985,0.46788419409926,0.53211580590074,154.35988068312,283.256582702214,27,24,win
2021-09-12,2021,0,,DET,SF,1390.64524910337,1490.66595095681,0.449771154865007,0.550228845134993,1369.55763405883,1548.0578439056,160.639093792892,127.748568827209,0.343426676278325,0.656573323721675,269.38491959662,175.216923542695,33,41,loss
2021-09-12,2021,0,,ATL,PHI,1484.49361709345,1426.46597194264,0.670004200101875,0.329995799898125,1462.27378351577,1432.00054262358,178.596516961217,119.529623264882,0.635254977215658,0.364745022784342,17.5620489591462,382.369867022362,6,32,loss
2021-09-12,2021,0,,BUF,PIT,1634.00386072407,1526.42032423259,0.729772904491487,0.270227095508514,1606.41473130055,1502.0654325584,244.602594090258,218.987338473775,0.716585008832354,0.283414991167646,217.564909855708,83.0338041429864,16,23,loss
2021-09-12,2021,0,,NE,MIA,1500.99746243259,1532.21301019351,0.548467070906754,0.451532929093246,1520.03796884731,1528.45021111073,106.5537,128.278939150076,0.569625165791396,0.430374834208604,257.015759069946,109.794159672034,16,17,loss
2021-09-12,2021,0,,NYG,DEN,1425.40108592539,1449.69551781791,0.558313452565997,0.441686547434003,1446.61525996127,1491.91914310986,120.818936231333,160.138678081889,0.499869408531093,0.500130591468907,226.622104299241,290.418299823877,13,27,loss
2021-09-12,2021,0,,KC,CLE,1643.35778701558,1531.69726243689,0.734376066707456,0.265623933292544,1640.21004844659,1562.48323308307,232.162441865721,173.376987873476,0.683352333175663,0.316647666824337,391.534947075812,159.617666561612,33,29,win
2021-09-12,2021,1,,NO,GB,1614.95936469189,1629.33743079564,0.479320103595606,0.520679896404394,1552.72492605052,1584.66477716081,149.475486692416,268.837927013728,0.407953144766497,0.592046855233503,371.447665874802,-67.6405482975024,38,3,win
2021-09-12,2021,0,,LAR,CHI,1571.73427292628,1496.16718002393,0.691932444365876,0.308067555634124,1569.71096830765,1467.24760314562,161.927004445684,121.878401512545,0.734004053234764,0.265995946765236,312.73235739556,100.781613367323,34,14,win
2021-09-13,2021,0,,OAK,BAL,1473.13101372901,1605.83975771845,0.403774388287337,0.596225611712663,1456.19125945714,1591.69992147818,184.371418141435,207.056462926882,0.398361348192785,0.601638651807215,250.708703380955,221.119483222541,33,27,win
2021-09-16,2021,0,,WSH,NYG,1445.44088511343,1394.59222690765,0.66080384747313,0.33919615252687,1470.36659767759,1419.54294757744,31.0822805031348,131.399253038124,0.469388598526643,0.530611401473357,282.463675848308,337.996005009125,30,29,win
2021-09-19,2021,0,,PHI,SF,1473.246507884,1510.12121700082,0.540387365178612,0.459612634821388,1475.79305764829,1562.4148685425,145.81364764063,132.495404298757,0.479891372183871,0.520108627816129,218.261964632414,249.630237526814,11,17,loss
2021-09-19,2021,0,,IND,LAR,1530.54737055287,1589.36607587075,0.508894659673186,0.491105340326814,1500.54139376389,1584.70575312514,113.888998146895,177.007539740672,0.435556860173484,0.564443139826516,169.958823714582,163.005992776053,24,27,loss
2021-09-19,2021,0,,PIT,OAK,1559.354299723,1497.07186350283,0.675396743856556,0.324603256143444,1534.22270984121,1480.39389809097,205.391985040696,191.005146665387,0.658168288827513,0.341831711172487,135.779800077039,378.252955378548,17,26,loss
2021-09-19,2021,0,,CAR,NO,1447.89452749365,1652.52218129382,0.309221497511522,0.690778502488478,1470.50409640853,1596.44281844839,116.688830500784,171.672704610654,0.393120089449088,0.606879910550912,250.197770132998,-87.3075873935311,26,7,win
2021-09-19,2021,0,,MIA,BUF,1539.9349609411,1601.06988523366,0.505562061622147,0.494437938377853,1536.52564203281,1574.25745401774,126.430461202272,241.898825666803,0.501337713781645,0.498662286218355,-37.3115950485379,123.681262132074,0,35,loss
2021-09-19,2021,0,,CHI,CIN,1478.53537707946,1426.79264585186,0.661956482818696,0.338043517181304,1452.25281832813,1441.24340610999,119.768722698023,154.384747394304,0.572900558391042,0.427099441608958,86.240044582728,-39.5379694585927,20,17,win
2021-09-19,2021,0,,CLE,HOU,1523.7826991798,1447.90204573003,0.692317068224987,0.307682931775013,1552.8743769906,1391.71843357762,172.001055742289,137.164623410416,0.857614773976988,0.142385226023012,158.51140662253,200.654490737646,31,21,win
2021-09-19,2021,0,,JAX,DEN,1323.89705964375,1480.50437683565,0.371138879483847,0.628861120516153,1350.75794893223,1518.99145549369,109.85932890599,173.166640256088,0.316865731709584,0.683134268290416,-60.2927099000965,223.523325517808,13,23,loss
2021-09-19,2021,0,,NYJ,NE,1370.39229111493,1493.275511685,0.417461585397339,0.582538414602661,1380.53612108558,1511.96253792523,100.353462062194,121.599905906995,0.391099796806711,0.608900203193289,-132.339257295943,51.267858771722,6,25,loss
2021-09-19,2021,0,,TB,ATL,1659.6714372909,1437.71308115209,0.839142962405846,0.160857037594154,1639.81595573489,1418.48126849106,223.782351781784,162.49307016101,0.847828401996259,0.152171598003741,267.847664686869,176.197929943567,48,25,win
2021-09-19,2021,0,,ARI,MIN,1533.66265425394,1479.84990081839,0.664617761154424,0.335382238845576,1528.36104211262,1487.59198102131,225.696909496588,208.346744079508,0.638243576396615,0.361756423603385,383.218177664589,331.2766275505,34,33,win
2021-09-19,2021,0,,SEA,TEN,1596.69384757462,1506.17151864956,0.709974147229171,0.290025852770829,1580.08329956063,1489.65105304156,192.99281929763,190.370825945957,0.713729370126253,0.286270629873747,242.332736677759,220.319914796742,30,33,loss
2021-09-19,2021,0,,LAC,DAL,1514.73824603292,1448.98872858276,0.679756874991575,0.320243125008425,1536.72347905462,1500.26461239978,190.527452807544,248.082791475039,0.607358252289464,0.392641747710536,179.798428951724,145.974508251018,17,20,loss
2021-09-19,2021,0,,BAL,KC,1581.89890794463,1651.27235027267,0.493706442962252,0.506293557037748,1567.49728284435,1649.81890453906,208.462764956448,248.099692386729,0.454165615668132,0.545834384331868,348.943074249155,366.179559227533,36,35,win
2021-09-20,2021,0,,GB,DET,1591.77461419371,1371.18998305936,0.838072687009403,0.161927312990597,1540.94688476294,1355.20060942193,235.190079482605,171.513676373265,0.796749120275597,0.203250879724403,245.292368381185,292.121573596687,35,17,win
2021-09-23,2021,0,,HOU,CAR,1434.03426325781,1492.08704839132,0.509996513609582,0.490003486390418,1385.73789737809,1508.15605718623,82.97586,130.039724464005,0.239009372955047,0.760990627044953,64.2040829917704,210.282127307028,9,24,loss
2021-09-26,2021,0,,JAX,ARI,1306.80953555027,1538.0738112689,0.277460380143735,0.722539619856265,1336.43081797086,1533.16087018271,92.8441250253815,241.449036313388,0.276248344058866,0.723751655941134,74.439087188602,272.043450257543,19,31,loss
2021-09-26,2021,0,,CLE,CHI,1537.65048165202,1487.43564204028,0.659985573858685,0.340014426141315,1558.85491319013,1463.8261330796,170.652090830313,108.36738,0.731754578120012,0.268245421879988,111.565220029962,-293.851942783612,26,6,win
2021-09-26,2021,0,,NYG,ATL,1390.12519679249,1428.66856208288,0.538000736385046,0.461999263614954,1412.11520563968,1409.96425493571,152.058928235224,163.863556139266,0.61065244773973,0.38934755226027,142.881572468151,192.736783071517,14,17,loss
2021-09-26,2021,0,,PIT,CIN,1526.34113185912,1417.89238089104,0.730753971074151,0.269246028925849,1502.25942340542,1429.67009135852,198.430766544331,134.992475709015,0.68195026819787,0.31804973180213,67.3743333692164,231.596598625245,10,24,loss
2021-09-26,2021,0,,BUF,WSH,1637.36747920355,1449.90791522859,0.810501805414512,0.189498194585488,1610.20370581635,1477.79433961535,230.07706931333,56.220420037652,0.847441404961439,0.152558595038561,508.502495774292,165.820275719514,43,21,win
2021-09-26,2021,0,,NE,NO,1517.6463639283,1608.32966039615,0.463105943700304,0.536894056299696,1534.60369705973,1558.79085767069,114.566701193467,145.774675410235,0.561137162641048,0.438862837358952,70.0141726419729,92.0439965844792,13,28,loss
2021-09-26,2021,0,,TEN,IND,1527.35358364047,1516.39805958312,0.607600023969089,0.392399976030911,1510.97833166172,1488.70741415887,193.365734831035,119.495980703664,0.624819848220447,0.375180151779553,207.621984152876,-9.39760914050439,25,16,win
2021-09-26,2021,0,,DET,BAL,1362.7498986654,1588.93160747921,0.283363847828774,0.716636152171226,1344.39682550563,1575.17562501081,183.574466095607,222.510795885719,0.269961599778496,0.730038400221504,139.276872281781,67.0040409777506,17,19,loss
2021-09-26,2021,0,,KC,LAC,1644.23965073809,1494.70050881844,0.774690149673536,0.225309850326464,1642.1405623726,1519.28319915472,259.90767907081,189.454550421962,0.754201596688545,0.245798403311455,227.082073854092,341.032211552324,24,30,loss
2021-09-26,2021,0,,OAK,MIA,1530.08503136671,1503.63736697121,0.628646597038018,0.371353402961982,1512.35718452676,1500.5793902342,209.729927536703,125.481083164343,0.63200355219814,0.36799644780186,184.123490041095,189.347101088812,31,28,win
2021-09-26,2021,0,,DEN,NYJ,1497.59190092913,1346.02143887163,0.776724588465201,0.223275411534799,1533.31858645506,1357.89496195108,178.20230878226,77.0841901263806,0.830624872343682,0.169375127656318,148.000756848761,-152.021783389467,26,0,win
2021-09-26,2021,0,,MIN,SEA,1475.43874380343,1575.51178258371,0.449696597200855,0.550303402799145,1482.79215295122,1558.75602094047,220.639732426608,197.926811035643,0.495760215573426,0.504239784426574,378.56021007253,212.553559796985,30,17,win
2021-09-26,2021,0,,LAR,TB,1603.5153868405,1668.71595636011,0.499711357290837,0.500288642709163,1596.53973273016,1648.33296929024,175.60738504421,228.188883072293,0.505836097618175,0.494163902381825,368.324324462015,434.337173544476,34,24,win
2021-09-26,2021,0,,SF,GB,1531.42446767728,1600.21469858767,0.494545635626769,0.505454364373231,1580.9734433009,1551.75066867924,144.208887621563,236.200308372463,0.634825445480465,0.365174554519535,99.9417859324771,246.255157416419,28,30,loss
2021-09-27,2021,0,,DAL,PHI,1469.02646579724,1451.94325720754,0.615977414591106,0.384022585408894,1517.70489229968,1457.23448288989,237.871963152637,153.058479339809,0.679146457918534,0.320853542081466,190.255016666098,176.714798519762,41,21,win
2021-09-30,2021,0,,CIN,JAX,1460.85818860394,1293.57620376766,0.792016354025828,0.207983645974172,1468.9723236552,1323.26114685419,144.652888000638,91.0036212417037,0.778793816444224,0.221206183555776,292.397568760291,210.491907716381,24,21,win
2021-10-03,2021,0,,BUF,HOU,1648.02759449283,1405.66446476028,0.854373633692872,0.145626366307128,1618.62978756105,1373.59486077813,257.919611959427,81.0986822991771,0.932479657278094,0.0675203427219057,212.934311957302,-219.034447050837,40,0,win
2021-10-03,2021,0,,MIA,IND,1493.75216382808,1498.93044638375,0.585249589724126,0.414750410275874,1490.79423444274,1472.09865488078,131.86768495679,106.606621719247,0.631635936721808,0.368364063278192,124.277175960857,215.803606554666,17,27,loss
2021-10-03,2021,0,,DAL,CAR,1491.56870984542,1520.45684688885,0.551782809665798,0.448217190334202,1536.14968680659,1520.29909378619,233.110268503983,138.063964748307,0.626296345739268,0.373703654260732,340.470169857807,208.105349609399,36,28,win
2021-10-03,2021,0,,ATL,WSH,1443.76667586231,1439.24779993931,0.598731583418204,0.401268416581796,1427.5189884646,1469.36825787065,166.750878832491,67.1804056058381,0.649940752367001,0.350059247632999,311.113662001203,318.853784860368,30,34,loss
2021-10-03,2021,0,,NYJ,TEN,1332.62282660555,1544.82119683984,0.299990744930283,0.700009255069717,1347.975721438,1527.58709093981,54.1735927747958,194.791359763219,0.295379890241087,0.704620109758913,152.738562332146,29.3570100219479,27,24,win
2021-10-03,2021,0,,NO,NYG,1633.71337155789,1375.02708301306,0.865679737738006,0.134320262261994,1590.52273963291,1394.56047211079,140.40160752766,151.141192658517,0.786292765501046,0.213707234498954,199.566234933566,405.389755025498,21,27,loss
2021-10-03,2021,0,,MIN,CLE,1504.95494421393,1557.32381278325,0.518169655042669,0.481830344957331,1509.44219587577,1573.98921879968,236.4317801912,164.743403750278,0.526255983084068,0.473744016915932,13.5169453711941,-41.6478271772393,7,14,loss
2021-10-03,2021,0,,PHI,KC,1429.40101315936,1610.83229021851,0.338444825260939,0.661555174739061,1438.78968838298,1609.93749246701,155.424111257804,256.625118549138,0.340450061961186,0.659549938038814,321.966891990332,383.988556848419,30,42,loss
2021-10-03,2021,0,,CHI,DET,1467.76231090905,1356.94877451389,0.733423896751848,0.266576103248152,1448.69182747005,1338.89717884181,68.1454477216389,179.144706714224,0.664502992338468,0.335497007661532,20.0601299444882,180.203250044089,24,14,win
2021-10-03,2021,0,,LAR,ARI,1627.51036984197,1551.30714305151,0.692712468917145,0.307287531082855,1620.19519153567,1546.33054129938,194.879078985991,244.508477707804,0.67745386685759,0.32254613314241,234.363423844797,295.106605882879,20,37,loss
2021-10-03,2021,0,,SF,SEA,1520.57687800228,1545.99558217321,0.556716904937724,0.443283095062276,1566.38804075167,1532.10597801592,139.782177452655,199.389485911777,0.624708186916439,0.375291813083561,55.3384905845284,191.668690561223,21,28,loss
2021-10-03,2021,0,,GB,PIT,1611.06228826267,1483.37532414622,0.751979065266751,0.248020934733249,1566.33607122847,1462.95719110874,237.205793276858,185.325123226819,0.725670412138715,0.274329587861285,200.513059709608,109.760987651478,27,17,win
